School,Degree Type,Prices
UCLA,Bachelors,21.99
UCLA,Masters,39.99
UCSB,Bachelors,29.99
UCSB,Masters,39.99
UCSD,Bachelors,29.99
UCSD,Masters,41.99
UCI,Bachelors,32.99
UCI,Masters,44.99
CSULA,Bachelors,31.99
CSULA,Masters,32.99
SDSU,Bachelors,32.99
SDSU,Masters,44.99
UC Berkeley,Bachelors,27.99
UC Berkeley,Masters,32.99
CSUF,Bachelors,30.99
CSUF,Masters,55.99
U of Redlands,Bachelors,30.99
U of Redlands,Masters,33.99
Cal Lutheran,Bachelors,24.99
Cal Lutheran,Masters,44.99
CSUSB,Bachelors,24.99
CSUSB,Masters,44.99