SOLO Inventory,,,manually bundled Inventory,,,,,,QUANTITY I WILL HAVE,
SKU,Qty,,SKU,,,rtio,Qty,rtio,,
UBC0171S42T0,10,,UBC0171S42T0,006000,K01,0.1,1,0.0005,1,UBC0171S42T00060000K01
UBC0171S45T0,27,,UBC0171S42T0,017000,K01,0.16,1.6,0.0007,1,UBC0171S42T00170000K01
UBC0171S48T0,1266,,UBC0171S42T0,017031,K01,0.08,0.8,0.0004,1,UBC0171S42T00170310K01
UBC0171S51T0,546,,UBC0171S42T0,019000,K01,0.24,2.4,0.0011,2,UBC0171S42T00190000K01
UBC0171S54T0,303,,UBC0171S42T0,025019,K01,0.14,1.4,0.0006,1,UBC0171S42T00250190K01
UBC0171S57T0,4,,UBC0171S42T0,104000,K01,0.28,2.8,0.0013,2,UBC0171S42T01040000K01
UBC0171S60T0,1,,UBC0171S45T0,006000,K01,0.1,2.7,0.0013,2,UBC0171S45T00060000K01
,,,UBC0171S45T0,017000,K01,0.16,4.32,0.0020,4,UBC0171S45T00170000K01
025019,89,,UBC0171S45T0,017031,K01,0.08,2.16,0.0010,2,UBC0171S45T00170310K01
019000,646,,UBC0171S45T0,019000,K01,0.24,6.48,0.0030,5,UBC0171S45T00190000K01
104000,679,,UBC0171S45T0,025019,K01,0.14,3.78,0.0018,3,UBC0171S45T00250190K01
006000,131,,UBC0171S45T0,104000,K01,0.28,7.56,0.0035,6,UBC0171S45T01040000K01
020000,12,,UBC0171S48T0,006000,K01,0.1,126.6,0.0587,104,UBC0171S48T00060000K01
220000,8,,UBC0171S48T0,017000,K01,0.16,202.56,0.0939,166,UBC0171S48T00170000K01
017000,145,,UBC0171S48T0,017031,K01,0.08,101.28,0.0470,83,UBC0171S48T00170310K01
017031,60,,UBC0171S48T0,019000,K01,0.24,303.84,0.1409,249,UBC0171S48T00190000K01
,,,UBC0171S48T0,025019,K01,0.14,177.24,0.0822,145,UBC0171S48T00250190K01
"""2019"" Year Tag",1770,,UBC0171S48T0,104000,K01,0.28,354.48,0.1643,291,UBC0171S48T01040000K01
"""19"" Year Tag",1770,,UBC0171S51T0,006000,K01,0.1,54.6,0.0253,45,UBC0171S51T00060000K01
"""2020"" Year Tag",1770,,UBC0171S51T0,017000,K01,0.16,87.36,0.0405,72,UBC0171S51T00170000K01
"""20"" Year Tag",1770,,UBC0171S51T0,017031,K01,0.08,43.68,0.0203,36,UBC0171S51T00170310K01
,,,UBC0171S51T0,019000,K01,0.24,131.04,0.0608,108,UBC0171S51T00190000K01
,,,UBC0171S51T0,025019,K01,0.14,76.44,0.0354,63,UBC0171S51T00250190K01
,,,UBC0171S51T0,104000,K01,0.28,152.88,0.0709,125,UBC0171S51T01040000K01
,,,UBC0171S54T0,006000,K01,0.1,30.3,0.0140,25,UBC0171S54T00060000K01
,,,UBC0171S54T0,017000,K01,0.16,48.48,0.0225,40,UBC0171S54T00170000K01
,,,UBC0171S54T0,017031,K01,0.08,24.24,0.0112,20,UBC0171S54T00170310K01
,,,UBC0171S54T0,019000,K01,0.24,72.72,0.0337,60,UBC0171S54T00190000K01
,,,UBC0171S54T0,025019,K01,0.14,42.42,0.0197,35,UBC0171S54T00250190K01
,,,UBC0171S54T0,104000,K01,0.28,84.84,0.0393,70,UBC0171S54T01040000K01
,,,UBC0171S57T0,006000,K01,0.1,0.4,0.0002,0,UBC0171S57T00060000K01
,,,UBC0171S57T0,017000,K01,0.16,0.64,0.0003,1,UBC0171S57T00170000K01
,,,UBC0171S57T0,017031,K01,0.08,0.32,0.0001,0,UBC0171S57T00170310K01
,,,UBC0171S57T0,019000,K01,0.24,0.96,0.0004,1,UBC0171S57T00190000K01
,,,UBC0171S57T0,025019,K01,0.14,0.56,0.0003,0,UBC0171S57T00250190K01
,,,UBC0171S57T0,104000,K01,0.28,1.12,0.0005,1,UBC0171S57T01040000K01
,,,UBC0171S60T0,006000,K01,0.1,0.1,0.0000,0,UBC0171S60T00060000K01
,,,UBC0171S60T0,017000,K01,0.16,0.16,0.0001,0,UBC0171S60T00170000K01
,,,UBC0171S60T0,017031,K01,0.08,0.08,0.0000,0,UBC0171S60T00170310K01
,,,UBC0171S60T0,019000,K01,0.24,0.24,0.0001,0,UBC0171S60T00190000K01
,,,UBC0171S60T0,025019,K01,0.14,0.14,0.0001,0,UBC0171S60T00250190K01
,,,UBC0171S60T0,104000,K01,0.28,0.28,0.0001,0,UBC0171S60T01040000K01